ID,FREQ,LENGTH,INCLANES,DECLANES,WIDTH,MIMEDSH,MXMEDSH,SPEED,URB,FC,AADT,SINGLE,DOUBLE,TRAIN,PEAKHR,GRADEBR,MIGRADE,MXGRADE,MXGRDIFF,TANGENT,CURVES,MINRAD,ACCESS,MEDWIDTH,FRICTION,ADTLANE,SLOPE,INTECHAG,AVEPRE,AVESNOW
48,47,0.8,4,4,121,3,10,55,1,5,145183,2.8,3.8,0.7,8.5,1,1.09,-3,4.09,0.68,1,5730,2,5,41,18148,2,1,4.32,0.06
49,69,1.5,4,4,96,3,10,55,1,5,159553,2.8,3.8,0.7,8.5,2,0.48,3,5.7,1.09,1,11460,2,5,41.5,19944,2,1,4.32,0.06
50,97,1.5,4,4,96,3,10,55,1,5,172557,2.4,3.3,0.6,8.5,1,-0.44,-3.99,3.51,0.28,2,5730,2,5,40.5,21570,3,2,3.73,1.13
51,29,0.53,3,3,72,0,10,55,1,5,172130,2.5,1.9,0.3,7.9,0,-0.96,-1.17,0.21,0.41,1,11459,2,1,42,28688,0,1,3.21,0.55
52,81,1.15,3,3,72,7,15,55,1,5,150632,2.1,2.4,0.4,7.9,2,-0.55,-2.76,2.35,0.51,2,2865,2,5,50.5,25105,3,1,3.37,1.12
53,133,1.88,3,3,72,7,10,55,1,5,151737,2.1,2.4,0.4,7.9,1,-0.5,2.2,2.95,1.59,1,2865,2,5,50.5,25290,2,2,3.37,1.12
54,69,3.58,3,3,72,7,10,55,1,5,147356,3.5,3.5,0.7,8.6,4,-0.5,-2.58,2.08,0.92,4,2456,2,5,44.8,24559,1,2,3.37,1.12
55,19,0.91,3,3,72,6,6,55,1,5,101645,3.1,4.3,1,8.6,4,0,-2.06,2.27,0.07,2,20000,2,2,57.5,16941,0,1,3.62,0
56,50,4.07,3,3,88,6,6,55,1,5,77256,4.3,7.1,1.5,9.8,6,0,2.97,3.98,0.16,2,30000,2,2,54.8,12876,0,2,3.62,0
57,49,3.78,3,3,88,6,6,65,0,5,63648,4.3,7.1,1.5,9.8,5,0,-2.95,2.95,0.66,2,3820,2,2,53.5,10608,0,1,4.92,1.12
58,18,1.36,3,3,88,6,6,65,0,5,58548,4.3,7.1,1.5,9.8,1,0,2.9,2.2,0.05,1,3200,2,2,54.3,9758,0,1,4.92,1.12
59,14,1.08,3,3,72,6,6,65,0,5,54521,4.3,7.1,1.5,9.8,1,-2,2.9,4.9,0.56,1,6000,2,5,48,9087,1,1,4.92,1.12
60,6,0.86,3,3,99,6,6,65,0,5,54521,4.3,7.1,1.5,9.8,2,0.5,3.62,5.62,0.51,1,6000,2,5,45,9087,0,1,4.92,1.12
61,6,0.94,3,3,72,6,6,65,0,5,52011,4.3,7.1,1.5,9.8,1,1.43,2.2,0.51,0.44,2,5000,2,5,53,8669,0,1,4.92,1.12
62,18,2.36,3,3,72,6,6,65,0,5,52011,4.3,7.1,1.5,9.8,5,0.54,2.05,3.05,0.53,2,5730,2,5,49.8,8669,1,2,4.92,1.12
63,11,1.69,3,3,72,6,6,65,0,5,42803,5.04,7.59,1.81,9.8,4,-0.5,-1.73,2.56,0.56,2,16000,2,5,51.5,7134,0,1,4.92,1.12
64,34,4.27,3,3,72,6,6,65,0,5,41221,5.04,7.59,1.81,9.8,7,0,-3.95,2.93,1.54,4,3885,2,5,54.8,6870,0,2,3.93,0
65,2,2.88,3,3,72,4,6,65,0,5,41964,5.04,7.59,1.81,9.8,1,0,0.47,0.48,0.64,2,4500,2,4,55.8,6994,0,2,3.93,0
66,18,1.53,3,2,60,4,6,65,0,5,43180,5.04,7.59,1.81,9.8,0,0.12,0.2,0.08,2.49,3,2865,2,2,59.3,8636,0,1,3.93,0
67,6,0.66,2,2,48,4,4,65,1,5,46975,5.04,7.59,1.81,9.8,0,0.2,-0.21,0.41,1.41,0,0,2,2,47.5,11744,1,1,3.93,0
68,24,2.54,2,2,48,4,4,65,0,5,31949,5.4,8.1,1.8,9.7,4,0.02,2.99,2.45,1.2,4,2547,2,2,49.7,7987,0,2,3.93,0
69,6,0.69,2,2,48,4,4,65,0,5,28056,4.8,7.1,1.7,9.7,1,1.4,1.91,0.51,1.54,1,7640,2,2,49.7,7014,0,0,3.93,0
70,29,3.02,2,2,48,4,4,65,0,5,28056,4.8,7.1,1.7,9.7,5,0.5,3,3.9,0.41,4,2865,2,5,50.3,7014,0,1,3.93,0
71,17,0.53,2,2,48,4,4,65,0,5,32896,4.8,7.1,1.7,9.7,0,3,3,0,0.59,1,1763,2,2,52,8224,0,1,3.8,1.2
72,46,2.09,2,2,48,4,4,55,1,5,26699,4.8,7.1,1.7,9.7,7,-0.1,-4,4.53,0.63,5,1910,2,2,46.5,6675,0,3,3.8,1.2
73,29,0.79,2,2,55,4,4,55,1,5,56998,3,5.3,1.2,9.7,4,-0.5,-2,2.6,0.48,1,2865,2,2,42,14250,0,1,3.8,1.2
74,27,0.74,2,2,48,4,4,55,1,5,56998,3,5.3,1.2,9.7,3,1,-2,3.03,0.44,2,1910,2,2,42,14250,1,2,3.8,1.2
75,19,1.23,2,2,48,4,4,55,1,5,43656,3,5.3,1.2,9.7,8,0.5,-2.32,3.92,0.01,2,1910,2,2,43.5,10914,1,2,3.8,1.2
76,30,4.16,2,2,48,4,4,55,1,5,46018,3,5.3,1.2,9.7,20,0.01,-3.8,5.54,0.02,3,4584,2,5,45.1,11505,0,1,3.8,1.2
77,19,0.65,2,2,48,4,4,65,1,5,35461,3,5.3,1.2,9.7,1,0,-0.51,0.51,0.04,2,5730,2,2,40.5,8865,0,1,3.8,1.2
78,19,2.17,2,2,48,4,4,65,1,5,32359,3,5.3,1.2,9.7,4,0.16,-1.53,1.25,0.62,3,2292,2,2,50.5,8090,0,2,3.8,1.2
79,58,8.2,2,2,48,4,4,65,0,5,32330,3,5.3,1.2,9.7,14,0,-1.2,1.2,0.17,7,7640,2,5,50,8083,0,3,3.8,1.2
80,14,2.27,2,2,48,4,4,65,0,5,19493,3.96,7.14,1.49,10.3,7,-0.55,1.8,3.08,0.13,5,2865,2,2,47.8,4873,0,2,4.14,2.59
82,17,3,2,2,48,4,4,55,1,1,14472,5.3,3.59,1.02,9.51,6,0.29,2.6,4.53,1.08,4,1433,1,2,51.8,3618,0,0,6.74,0.04
83,15,5.67,2,2,48,4,4,55,1,1,14472,5.3,3.59,1.02,9.51,12,0,3.02,3.02,0.75,5,1433,1,2,51.3,3618,1,0,6.74,0.04
84,2,0.72,2,2,48,4,4,55,1,1,11626,5.1,3.6,1.1,9.4,2,0.34,1.01,0.67,0.91,2,5730,1,5,48.5,2907,0,0,6.33,0
85,4,0.53,2,2,48,4,4,55,1,1,11626,5.1,3.6,1.1,9.4,0,0.59,0.84,0.25,0.02,2,5730,1,3,52.5,2907,0,0,6.33,0
86,11,2.47,2,2,48,4,4,55,1,1,12602,5.1,3.6,1.1,9.3,6,-0.38,3.08,3.85,0.25,4,1433,1,5,49,3151,0,0,6.33,0
87,16,3.12,2,2,48,4,4,55,1,1,13263,5.1,3.6,1.1,8.3,11,0.29,3.28,3.92,0.86,7,1910,1,2,50.7,3316,0,0,6.33,0
88,7,1.6,2,2,48,4,4,55,1,1,14519,5.1,3.6,1.1,8,4,0.43,-3.96,2.68,1.02,4,1433,1,2,51,3630,0,0,6.33,0
89,6,1.12,2,2,48,4,4,55,1,1,13812,5.1,3.6,1.1,8.5,2,-0.4,-3.96,1.68,0.52,3,1910,1,5,53,3453,0,0,6.33,0
90,5,0.9,2,2,48,4,4,55,1,1,13812,5.1,3.6,1.1,8.5,1,-0.43,-3.96,3.29,0.34,1,1910,1,2,52,3453,0,0,5.28,2.63
91,18,4.68,2,2,48,4,10,55,1,1,13088,7,4.9,1.5,8.8,7,0,-2.9,2.9,0.06,9,2000,2,2,53.2,3272,0,1,6.74,0.04
92,16,4.72,2,2,48,4,4,55,1,1,17022,7,4.9,1.5,7.8,3,0,3.02,3.02,0.18,7,1910,2,2,55,4256,0,1,6.74,0.04
93,4,2.27,2,2,48,3,4,55,0,1,7470,4.96,3.13,1.29,9.44,0,-0.32,-0.79,0.47,0.01,3,2100,1,5,48.2,1868,0,0,0.51,0.28
94,3,0.61,2,2,50,4,4,55,0,1,6224,5,3.1,1.3,9.24,0,-0.45,-0.91,0.44,0.37,2,1916,1,5,48.2,1556,0,0,0.51,0.28
95,7,3.85,2,2,50,4,4,55,0,1,6224,5,3.1,1.3,9.24,0,-0.29,-0.82,0.49,0.89,6,1500,1,4,52.1,1556,0,0,0.51,0.28
96,9,0.97,2,2,50,4,4,55,0,1,9272,3.72,2.33,0.56,9.4,2,-0.46,-1.11,1.19,0.2,1,22920,1,2,54.5,2318,0,0,0.51,0.28
97,7,1.96,2,2,50,4,4,55,1,1,16428,3.3,3,1,8.6,2,-0.49,2.77,3.26,0.4,3,2800,2,4,51.8,4107,0,2,0.51,0.28
98,11,2.84,2,2,48,4,10,55,1,1,24714,3.02,2.94,0.58,9.1,4,0,-1.35,1.34,0.02,0,0,2,2,46.8,6179,0,1,0.44,0
99,3,0.56,2,2,48,4,10,55,0,1,14126,5.5,3.3,1.4,8.61,2,0,-2.68,2.68,3.27,1,4000,1,2,52.5,3532,0,0,0.7,0.58
100,0,0.85,2,2,54,0,0,50,1,1,34868,2.2,1.8,0.5,8.9,2,0,0.7,0.7,0.45,2,5730,1,1,48.5,8717,0,1,3.18,0.67
101,11,0.5,2,2,48,4,4,55,0,1,61717,3.04,1.74,0.53,7.43,3,-0.72,-4.98,3.72,0.16,2,1952,2,3,46.5,15429,0,2,3.91,0
102,23,0.51,2,2,48,4,4,55,0,1,53446,3.04,1.74,0.53,7.3,0,-4.98,-4.98,0,0.48,2,1400,2,2,46.5,13362,0,1,3.91,0
103,36,1.39,2,2,48,4,4,55,0,1,66246,3.5,2.6,0.6,7.8,3,-0.8,2.38,2.46,0.07,0,0,2,3,51.5,16562,0,1,5.22,0.75
104,16,1.9,2,2,48,4,4,55,0,1,66246,3.5,2.6,0.6,7.8,4,0.6,-4.88,8.37,1.53,2,9923,2,4,51.8,16562,0,2,5.22,0.75
105,42,2.96,2,2,52,4,6,55,0,1,51194,3.5,2.6,0.6,8.79,6,0.86,-4.97,7.46,0.07,2,3077,2,4,50,12799,2,1,5.22,0.75
106,18,3.19,2,2,48,4,8,55,1,1,30212,3.3,3.37,0.76,7.97,5,0.48,-2.89,3.8,2.35,9,3077,2,4,50.6,7553,0,1,5.22,0.75
107,19,0.77,2,2,48,4,4,55,0,1,35296,3.89,3.02,0.63,7.6,2,-1.26,4.06,6.14,0.92,2,5000,2,4,50.6,8824,0,1,5.22,1.09
108,0,0.61,1,1,24,4,4,50,1,1,11209,3.51,2.84,0.72,8.63,0,2.56,2.56,0,0.05,0,0,1,1,60.5,5605,0,0,0.55,0.33
109,3,0.84,2,2,48,4,4,50,0,1,12857,3.51,2.84,0.72,8.65,1,0.92,3.82,2.9,0.71,1,21200,1,1,59,3214,0,0,0.55,0.33
110,9,0.66,2,2,48,4,4,55,1,1,21965,4.24,2.63,0.64,9.9,2,-1.58,3.44,5.02,0.28,1,1910,1,1,49.8,5491,0,0,3.29,0.38
111,10,0.73,2,2,48,4,4,55,1,1,22997,4.24,2.63,0.64,9.97,1,-1.58,6.05,7.63,0.6,1,2292,1,2,49.8,5749,0,0,3.29,0.38
112,12,0.94,2,2,48,4,4,55,0,1,23001,4.24,2.63,0.64,10.01,3,-3.08,6.05,9.13,0.92,3,2292,1,2,48,5750,1,0,3.29,0.38
113,35,3.58,2,2,57,4,6,55,0,1,25030,4.24,2.63,0.64,9.4,1,0,-5,5,0.49,4,819,1,4,49.6,6258,1,0,3.93,0
114,12,4.51,1,1,24,0,0,35,1,2,9292,4.08,1.67,0.38,9.31,5,-0.12,-1.94,1.91,3.76,2,5730,0,1,51.3,4646,0,0,0.55,0.33
116,4,1.24,2,2,62,4,4,65,0,5,9876,5.1,13.6,3.14,12.3,1,2,5,3,0.63,3,3200,2,5,44,2469,2,0,0.69,0.55
117,3,2.07,2,2,48,4,4,65,0,5,10482,5.1,13.6,3.14,12.3,0,5,5,0,0.62,3,3200,2,5,44,2621,2,0,0.69,0.55
118,4,2.68,2,2,48,4,4,65,0,5,10955,5.1,13.6,3.14,12.3,5,0.8,-5,4.8,0.67,3,1800,2,5,47.3,2739,0,1,0.69,0.55
119,0,0.78,2,2,62,4,4,65,0,5,11705,4.4,12.9,3.2,12.3,0,5,5,0,0.79,3,1600,2,5,50.5,2926,1,0,0.69,0.55
120,8,2.47,2,2,48,4,4,65,0,5,11705,4.4,12.9,3.2,12.3,1,-4.8,5,9.8,1.22,3,3200,2,5,47,2926,0,0,0.69,0.55
121,5,1.01,2,2,48,4,4,65,0,5,11705,4.4,12.9,3.2,12.3,1,-1.7,4,5.7,1.52,1,3150,2,5,46.3,2926,2,0,0.51,0.28
122,6,0.56,2,2,48,4,4,65,0,5,11705,4.4,12.9,3.2,12.3,0,3.8,3.8,0,0.49,1,1800,2,5,44,2926,2,0,0.51,0.28
123,2,0.61,2,2,48,4,4,65,0,5,12159,4.4,12.9,3.2,12.3,0,-5,-5,0,1.27,1,4000,2,5,46.5,3040,3,0,0.51,0.28
124,2,1.02,2,2,48,4,4,65,0,5,12159,4.4,12.9,3.2,12.3,3,-1.55,-5,2.86,0.56,2,1600,2,5,61.5,3040,0,0,0.51,0.28
125,13,3.84,2,2,62,4,4,65,0,5,12159,4.4,12.9,3.2,12.3,4,-0.16,-3.97,2.3,0.04,3,1500,2,5,61,3040,0,2,0.51,0.28
126,6,1.35,2,2,48,4,4,65,0,5,16170,4.4,12.9,3.2,12.3,3,-0.08,-2.05,1.97,0.38,3,1146,2,3,56,4043,0,2,0.51,0.28
127,9,1.49,2,2,48,4,4,55,1,5,15830,4.76,9.73,2.77,8.6,5,0.8,3,5.92,0.39,3,2865,2,3,38.8,3958,0,1,0.51,0.28
128,1,0.57,2,2,48,4,4,55,1,5,30450,5.48,7.93,1.9,8.05,1,-0.11,1.5,1.86,0.38,0,0,2,3,38.8,7613,0,1,0.51,0.28
129,37,4.66,2,2,76,4,4,55,1,5,35375,4.54,6.54,1.74,12.08,9,0,-2.26,4.02,0.9,7,2865,2,2,43.6,8844,1,3,0.51,0.28
130,3,0.53,2,2,54,4,4,65,0,5,19776,3.5,7.5,2,10.5,2,-0.28,-0.97,0.68,0.19,1,1800,2,2,42,4944,1,0,0.51,0.28
131,6,1.2,2,2,48,4,4,65,0,5,19776,3.5,7.5,2,10.5,1,0.67,1.14,1.54,0.94,3,1800,2,5,45.5,4944,0,1,0.51,0.28
132,2,1.18,2,2,48,4,4,65,0,5,19776,3.49,7.53,1.95,10.5,1,1.14,-2.52,3.66,0.53,3,3000,2,5,46.5,4944,0,1,0.55,0.39
133,33,13.94,2,2,62,4,4,65,0,5,17301,3.8,8.43,2.68,10.5,12,-0.1,-2.52,3.27,0.15,16,2400,2,5,46.1,4325,1,4,0.55,0.39
134,10,2.85,2,2,62,4,4,65,0,5,14867,4.2,8.55,2.5,10.1,6,0.1,-1.69,2.53,0.31,3,4500,2,5,45.3,3717,0,1,0.58,0.19
135,28,8.31,2,2,62,4,4,65,0,5,14867,4.2,8.55,2.5,10.1,10,0.05,-3,3.16,0.75,8,2500,2,5,47,3717,0,2,0.38,0.17
136,9,3.78,2,2,48,4,4,65,1,5,12643,5.08,10.58,3.08,10.1,5,0,-2.73,2.66,1.08,5,2400,2,5,47,3161,0,1,0.38,0.17
137,4,1.6,2,2,48,4,4,65,0,5,12743,5,11.9,4.1,10.1,4,0.55,3,4.66,0.87,4,2600,2,5,50,3186,0,1,0.38,0.17
138,3,1.6,2,2,62,4,5,65,1,5,10285,4.98,11.92,4.1,10.1,2,0.69,1.65,1.73,0.1,1,5000,2,5,45.3,2571,0,1,0.38,0.17
139,7,4.06,2,2,48,5,5,65,0,5,11022,5,11.3,3.9,10.1,5,0.04,-3.47,5.12,0.09,4,2700,2,5,43.9,2756,0,1,0.38,0.17
140,10,3.47,2,2,48,4,5,65,0,5,11158,4.05,11.49,3.7,10.1,2,-0.6,-3.47,2.63,0.57,2,2800,2,5,48,2790,0,1,0.53,0
141,10,2.43,2,2,48,4,4,65,0,5,9156,1.95,10.76,2.85,11.6,4,-0.1,4.5,6.47,0.61,2,2200,2,5,52,2289,1,1,0.53,0
142,1,0.6,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,1,-4.22,4.5,8.77,0.85,3,2600,2,5,52,2357,3,0,0.53,0
143,1,0.52,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,0,-4.22,-4.22,0,0.64,1,2600,2,5,52,2357,2,0,0.53,0
144,6,1.88,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,4,-0.41,-4.22,5.97,0.44,1,2600,2,5,54,2357,2,1,0.53,0
145,9,3.4,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,5,-0.11,2.74,2.59,0.53,3,8000,2,2,46.8,2357,0,1,0.53,0
146,2,0.5,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,0,1.2,1.39,0.19,0.95,2,5000,2,3,47,2357,2,0,0.53,0
147,4,3,2,2,48,4,4,65,0,5,9426,1.95,10.76,2.85,11.6,7,-0.89,-5.01,4.1,0.3,4,5000,2,5,44.3,2357,1,1,0.53,0
148,2,0.56,2,2,48,4,4,65,0,5,10679,1.95,10.76,2.85,11.6,1,0.29,-4.38,4.67,0.78,1,11000,2,3,53.5,2670,0,0,0.53,1.04
149,16,5.91,2,2,48,4,4,65,0,5,10679,1.95,10.76,2.85,11.6,6,0.43,4.9,4.32,1.33,4,2800,2,5,55.6,2670,0,2,0.53,1.04
150,3,1.96,2,2,62,4,4,65,0,5,11654,1.95,10.76,2.85,11.6,0,-0.5,-0.98,0.48,0,3,5500,2,5,51.8,2914,0,2,0.53,1.04
151,4,4.4,2,2,62,4,4,65,0,5,3917,4.4,14,1.8,11.6,4,-0.5,-3.75,7.43,0.36,2,5000,2,5,51.5,979,0,2,0.53,1.04
152,4,4.48,2,2,48,4,4,65,0,5,4661,4.44,13.99,1.81,11.6,5,0,3.68,3.68,1.65,2,4500,2,5,52.4,1165,0,2,0.53,1.04
153,14,3.03,2,2,48,4,4,65,0,5,9094,4.6,17.8,4.9,11.6,4,0.42,4,3.46,1.73,2,5000,2,5,50,2274,3,1,0.53,1.04
154,6,4.63,2,2,48,4,4,65,0,5,10532,4.6,17.8,4.9,11.5,6,-1.15,-3.94,5.25,0.99,5,6000,2,5,47.9,2633,2,1,0.5,0
155,12,8.82,2,2,48,4,4,65,0,5,10532,4.6,17.8,4.9,11.5,12,-0.03,-3.9,3.15,2.05,8,4000,2,5,44.9,2633,2,2,0.5,0
156,58,1.47,4,3,84,10,11,55,1,5,115885,2.6,1.4,0.1,9.6,2,-0.15,4,3.49,0.48,2,3500,2,4,47.5,16555,0,1,3.37,1.12
157,7,0.93,4,3,84,10,11,55,1,5,59822,3.12,3.43,0.49,9.6,2,-0.15,-2.48,2.33,1.29,1,3500,2,5,51,8546,2,1,3.37,1.12
158,10,0.72,4,3,104,10,11,55,1,5,81252,3.2,3.43,0.49,9.6,2,-0.36,-3.17,2.71,0.39,1,3800,2,5,53.5,11607,2,0,5.92,0.72
